Rank,Wallet,Owner,Balance,XRP Locked,Percentage,Total Balance
146,rV9JsBSFRMdcxwAFAA6wbzgdYfAHpjN9f,,34989035,,0.04,34989035
147,rKUDvXFJMFu65LqPTH3Yfpii4rbKT9bSQT,,34587853,,0.04,34587853
148,rUWUJ2F3aZknSd8PVutoMnxowMK792maTD,,34414513,,0.03,34414513
149,rnaiDK2aDkDCCoRk3n9oyzbrtBcGPdHL2t,,34309179,,0.03,34309179
150,rMn4SutY41iGtMC87EE9BZ8hFSgBLCZdog,,33507237,,0.03,33507237
151,rJw1o6M4HhQ7i5gbuhkRdZQSg5bDMFYS4W,,32977448,,0.03,32977448
152,rEXmdJZRfjXN3XGVdz99dGSZpQyJqUeirE,,32098412,,0.03,32098412
153,rBjDVYtYxkBjcSbzMkSfnc31iSw8nsGR74,,30999900,,0.03,30999900
154,rfycjrGRMav6xcxcWyQ5JKjBFQXbog5K6q,,30999853,,0.03,30999853
155,rGNVd8ypXAAtExDGsJ7sV3feoPdwJ9wwAe,,30686027,,0.03,30686027
156,rKuP5k67YtHzsCmSQp7votF7u4afp4uNcm,,30323899,,0.03,30323899
157,rKbs6qhu8orUJTdNf2q8zbBHGLKJbRYgr1,,30123998,,0.03,30123998
158,rPnETQb36p2UzP3bWPuqUeUicxTb9NLEdt,,30000022,,0.03,30000022
159,rhDgyndaMdJXHGYHiSafy6aLynfcjofwmy,,30000018,,0.03,30000018
160,rPvKH3CoiKnne5wAYphhsWgqAEMf1tRAE7,CoinJar,29619752,,0.03,29619752
161,rsTtGH7a9mom5X8Y9D3kxroXWvA912RgUZ,Coinbase (Cold 176),29576571,,0.03,29576571
162,rEWBvZyGHsQfofVJrmWRyvu7vhBB53r622,Coinbase (Cold 343),29532544,,0.03,29532544
163,rGriTJKG1i71mLssnwqoV6gPbSEv45nqur,Coinbase (Cold 236),29532544,,0.03,29532544
164,r9ZMdQ63S8NvgdCyLpfhkdbWDfQ57eKD9c,Coinbase (Cold 399),29532544,,0.03,29532544
165,r417XbsvuBJpkMC4eHtGpvAHxgC24mb6Nc,Coinbase (Cold 193),29532544,,0.03,29532544
166,rPeuuqP9rNhskesoA3ferKfp6VT5SvLAzU,Coinbase (Cold 299),29532544,,0.03,29532544
167,rNaJVWotxZ9nGTBiHRWR6LR1deXHa8FRLf,Coinbase (Cold 418),29532544,,0.03,29532544
