Rank,Wallet,Owner,Balance,XRP Locked,Percentage
177,r3Yg4mv2YyBkgdUvctgbnTYtYu3w69rVAS,,"27,983,800 XRP",,"0.028
%"
178,rf9HoxMbbc7esbskFxdvjpPgjVdtRb4Mru,,"27,983,800 XRP",,"0.028
%"
179,rMC8Gih4GNNJL2QNbyfNHYEwjneX1LHdcc,,"27,875,010 XRP",,"0.028
%"
180,rsgwNP2cyRHAcEbuRmboDQ4pmgemMNVZR3,,"27,847,007 XRP",,"0.028
%"
181,rPgeFVvofU6zAL6L4AMfgKYQUtUoPeiQbV,,"27,551,278 XRP",,"0.028
%"
182,rBRaRTaq99U216NSDt7dFRrfzAtZzyrgS6,Coinbase (Cold 188),"27,108,604 XRP",,"0.027
%"
183,rPkUBHkNA41SDWk4RWuXUtKqHJb1oBARiv,,"27,066,768 XRP",,"0.027
%"
184,rsVDKTbUceVQqNKrSzYj8HtkVcS7TuRWSN,Coinbase (Cold 36),"27,047,891 XRP",,"0.027
%"
185,rBj8PDBTKKuXWJaWbaEtdkV8hq4oxRWhsB,Coinbase (Cold 392),"27,028,666 XRP",,"0.027
%"
186,rMJbEvjzqVeGJHs5ySZvuF2dHhWKx69t6G,Coinbase (Cold 100),"26,951,693 XRP",,"0.027
%"
187,rw4rHH5LrTUZ5WDXieCPT14E89PwnmXtoV,Coinbase (Cold 48),"26,897,003 XRP",,"0.027
%"
188,rNbMpc8JgLKnXs51KVYAmt4zbDvE8kgQEi,Coinbase (Cold 232),"26,897,003 XRP",,"0.027
%"
189,rBiCL18zasvY9e8M2ZSub6gyYfzmfK4356,,"26,700,010 XRP",,"0.027
%"
190,rnaxGortNCoxkWUq18jCGmQDeCrLBmiz42,Coinbase (Cold 92),"26,671,745 XRP",,"0.027
%"
191,rf9CWxJKUwHm4eZo3Z8SHi6Z1D6RoqFqqq,Coinbase (Cold 196),"26,671,745 XRP",,"0.027
%"
192,rMsfxSZfdj3F1vBeVRte6b83LMV4AtZAHX,Coinbase (Cold 434),"26,671,745 XRP",,"0.027
%"
193,rKmcvfZ4AeVCsJDNLZg3Xwbs86F33sC6bR,Coinbase (Cold 78),"26,671,745 XRP",,"0.027
%"
194,rhyp1uMC9Xyj3Px8amUH3xVv6tbjYJkojs,Ripple (35),"26,575,132 XRP",,"0.027
%"
195,rGMrBbRhpBLhZMzEKQTqhfGQnaTHhrfZCw,,"26,444,454 XRP",,"0.026
%"
196,r9YMphxsqY1CQckqzDwfsutJhs9CwbWh97,,"26,399,087 XRP",,"0.026
%"
197,rnYzsCmvD35kBntkY5g4kf7hStMGKSQfwz,Coinbase (Cold 149),"26,371,811 XRP",,"0.026
%"
198,rDecw8UhrZZUiaWc91e571b3TL41MUioh7,Binance (16),"26,262,461 XRP",,"0.026
%"
199,rJQC2RzzALgus6ZZgu34nXnpz67v3bRSzi,Coinbase (Cold 210),"25,526,876 XRP",,"0.026
%"
200,rGoDpsHfkkSvNatyXHZPiJk7qydd7uahQz,Coinbase (Cold 183),"25,498,189 XRP",,"0.026
%"
201,r939VcVXx5Zx9wJ1TL61StPEKaqaYf75XQ,Coinbase (Cold 104),"25,498,189 XRP",,"0.026
%"
202,r9rg8WT6KPXE8FGYbsGG6YaEG6wrbLxqF9,Coinbase (Cold 206),"25,498,189 XRP",,"0.026
%"
